timestamp_utc,symbol,session,direction,action,price,qty,sl,tp,risk_per_unit,fee_r,order_id,equity_before,equity_after,notes
2026-02-15 08:14:27,WHITEWHALE/USDT:USDT,london,short,EXIT,0.08295000,52630.000000,,,,,35e4f6a2-0c04-4a34-9834-a1eeef0abf17,,941.40,LOSS [scale-out: filled]
2026-02-15 08:28:33,MYX/USDT:USDT,london,short,EXIT,2.09100000,1176.000000,,,,,794abf80-0f11-4b89-ad29-c070424fbd45,,949.32,WIN [scale-out: filled]
2026-02-15 08:45:39,CYS/USDT:USDT,london,short,EXIT,0.50550000,3921.000000,,,,,6d802f34-0b5a-4e70-b0f3-63231fa71ded,,961.96,WIN [scale-out: filled]
2026-02-15 16:10:03,ZKP/USDT:USDT,ny,long,ENTRY,0.10243000,22755.000000,0.10148000,0.10385000,0.00095000,0.0431,49794169-ec7c-4ade-9d5a-06d6a3055dda,1080.88,,fc_high=0.10178 fc_low=0.10118
2026-02-15 16:10:04,LAB/USDT:USDT,ny,short,ENTRY,0.13520000,28074.000000,0.13597000,0.13404000,0.00077000,0.0702,c861710f-0609-4134-98d3-0b8ac8bdfc85,1080.88,,fc_high=0.13627 fc_low=0.13567
2026-02-15 16:10:06,CLO/USDT:USDT,ny,short,ENTRY,0.08068000,24847.000000,0.08155000,0.07938000,0.00087000,0.0371,d7dc4dc9-cae6-478e-8b9f-547c74d09982,1080.88,,fc_high=0.08238 fc_low=0.08072
2026-02-15 16:17:15,ZKP/USDT:USDT,ny,long,EXIT,0.10146000,22755.000000,,,,,49794169-ec7c-4ade-9d5a-06d6a3055dda,,1046.56,LOSS
2026-02-15 16:20:17,CLO/USDT:USDT,ny,short,EXIT,0.08173000,24847.000000,,,,,d7dc4dc9-cae6-478e-8b9f-547c74d09982,,1012.31,LOSS
2026-02-15 17:17:35,LAB/USDT:USDT,ny,short,EXIT,0.13493000,28074.000000,,,,,c861710f-0609-4134-98d3-0b8ac8bdfc85,,1006.66,WIN
2026-02-16 00:10:03,CYS/USDT:USDT,asia,long,ENTRY,0.50840000,3837.000000,0.50280000,0.56440000,0.00560000,0.0363,2cc60901-160b-4a2e-b00d-a6ba3216a3b3,1074.47,,fc_high=0.5043 fc_low=0.5013 SMART_TP
2026-02-16 00:10:04,CLO/USDT:USDT,asia,long,ENTRY,0.06908000,32559.000000,0.06842000,0.07568000,0.00066000,0.0419,989a3986-114a-4753-9a56-ab9dab36530d,1074.47,,fc_high=0.06886 fc_low=0.06798 SMART_TP
2026-02-16 00:10:05,TRUST/USDT:USDT,asia,long,ENTRY,0.07921000,22384.000000,0.07825000,0.08881000,0.00096000,0.0330,702868ef-d454-4995-8b65-1b63568da2b8,1074.47,,fc_high=0.07866 fc_low=0.07784 SMART_TP
2026-02-16 00:10:06,BREV/USDT:USDT,asia,long,ENTRY,0.14126000,11370.000000,0.13937000,0.16016000,0.00189000,0.0299,18faacd3-cb0c-4129-8f77-3225c594ec71,1074.47,,fc_high=0.13965 fc_low=0.13909 SMART_TP
2026-02-16 00:10:08,FHE/USDT:USDT,asia,long,ENTRY,0.04595000,23614.000000,0.04504000,0.05505000,0.00091000,0.0202,75d8e1d7-0407-44e3-b7b4-8f1696188779,1074.47,,fc_high=0.04535 fc_low=0.04473 SMART_TP
